Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;20.336502; 79.6635; 0.5; 1.9222223; 4.5; 2.8888888; 19; 81
1001.0;30.81747; 69.18253; 0.92105263; 1.6410152; 4.236842; 3.430727; 30; 70
1501.0;50.438454; 49.561546; 0.6640351; 1.3805859; 4.4745617; 3.720439; 47; 53
2001.0;66.29593; 33.70407; 0.6737029; 1.6298224; 4.393076; 3.5041592; 70; 30
2501.0;86.87653; 13.123467; 0.33819574; 1.4876608; 4.6913295; 3.7168052; 85; 15
3001.0;94.16711; 5.8328958; 0.13339055; 1.7658441; 4.8904862; 3.6477869; 93; 7
3501.0;98.39756; 1.6024418; 0.08745581; 1.3951206; 4.9773173; 4.5211124; 99; 1
4001.0;99.85465; 0.14534883; 0.010984401; 2.3951206; 5.040175; 8.521112; 100; 0
