Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;17.820812; 82.17919; 0.9; 2.1888888; 4.1; 2.6666667; 19; 81
1001.0;28.24238; 71.757614; 1.1526315; 1.7924554; 3.9526315; 3.304527; 27; 73
1501.0;35.958122; 64.04188; 1.2278754; 1.6135954; 3.8871343; 3.4562266; 40; 60
2001.0;63.55394; 36.446053; 0.6306969; 1.2268932; 4.4721785; 3.8242705; 66; 34
2501.0;85.72928; 14.270723; 0.44894996; 1.2419674; 4.5829115; 4.0242434; 86; 14
3001.0;98.677246; 1.3227513; 0.10987151; 0.87442625; 4.913755; 4.5731606; 99; 1
3501.0;98.998; 1.0020039; 0.0011098132; 0.87442625; 5.039533; 9.57316; 99; 1
4001.0;99.85465; 0.14534883; 0.01011222; 1.8744262; 5.0408034; 13.57316; 100; 0
