Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;48.1182; 51.8818; 1.8461539; 2.3606558; 5.205128; 4.47541; 54; 46
1001.0;48.499905; 51.500095; 2.0527065; 1.8121881; 4.966762; 4.9668565; 48; 52
1501.0;51.956524; 48.043476; 1.6677647; 1.6886959; 5.520141; 5.0955167; 60; 40
2001.0;63.13214; 36.867863; 1.9777961; 2.0672174; 4.9920025; 4.602388; 67; 33
2501.0;80.02018; 19.97982; 1.2534; 1.6990066; 6.104358; 5.0485573; 80; 20
3001.0;89.576546; 10.423452; 1.1406676; 1.6849502; 6.176305; 5.052428; 88; 12
3501.0;96.46597; 3.5340314; 0.5925076; 1.5570792; 6.842912; 5.2543693; 97; 3
4001.0;98.79845; 1.201555; 0.22260316; 3.5190265; 7.3076587; 5.4181232; 100; 0
