Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;54.965843; 45.03416; 1.3953488; 1.6140351; 5.837209; 5.0877194; 52; 48
1001.0;47.111935; 52.888065; 2.1999106; 1.9294591; 5.3430233; 5.168494; 49; 51
1501.0;50.012897; 49.987103; 1.9836717; 1.979009; 4.802919; 4.591539; 56; 44
2001.0;59.042557; 40.957447; 2.0354228; 2.0904322; 5.532195; 5.081626; 55; 45
2501.0;59.248184; 40.75182; 1.509735; 1.5353429; 5.555131; 5.201814; 56; 44
3001.0;58.950443; 41.049564; 1.4019595; 1.3303487; 5.7063413; 5.14095; 55; 45
3501.0;60.11081; 39.889194; 1.9163994; 2.1184523; 4.9219337; 4.514243; 59; 41
4001.0;54.480373; 45.519627; 1.9646847; 1.8077672; 5.219016; 5.2808356; 64; 36
4501.0;76.10139; 23.898611; 1.3275732; 1.7446601; 5.8002973; 4.9522457; 78; 22
5001.0;89.57346; 10.42654; 1.0426612; 1.7156663; 6.6256447; 5.043284; 88; 12
5501.0;94.96184; 5.0381675; 0.56866664; 2.5596387; 7.0412; 5.1702733; 91; 9
6001.0;96.705154; 3.2948468; 0.5886666; 1.951071; 6.9015517; 4.574475; 98; 2
6501.0;99.49202; 0.5079826; 0.077435374; 2.4755354; 7.4173627; 6.287237; 100; 0
