Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;62.235825; 37.764175; 1.0930233; 2.0526316; 6.4883723; 4.7192984; 52; 48
1001.0;57.964306; 42.035694; 1.7325581; 1.9385964; 5.47093; 5.1608186; 59; 41
1501.0;54.59053; 45.40947; 2.181908; 1.9253317; 4.7198467; 4.5892887; 50; 50
2001.0;46.136364; 53.863632; 1.8836381; 1.7585067; 5.234397; 5.3117857; 46; 54
2501.0;42.513863; 57.486134; 2.0409486; 1.9214538; 5.1137915; 5.3020697; 46; 54
3001.0;49.114544; 50.885456; 2.153064; 2.3133602; 5.0676913; 5.0426307; 50; 50
3501.0;63.544308; 36.455692; 1.3230612; 1.6462673; 5.761354; 5.220853; 66; 34
4001.0;71.66024; 28.339762; 1.7170161; 1.8719491; 5.55699; 4.9476724; 81; 19
4501.0;90.11839; 9.881607; 1.1323088; 2.3090498; 6.525395; 4.839351; 89; 11
5001.0;98.34231; 1.6576966; 0.6981158; 1.3917317; 6.8935437; 5.7126684; 99; 1
5501.0;99.7076; 0.29239768; 0.047455717; 3.3917317; 7.493874; 10.712668; 100; 0
