Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;39.015152; 60.984848; 0.23333333; 0.3857143; 4.6; 4.2285714; 36; 64
1001.0;16.981134; 83.01887; 0.78425926; 0.6935268; 3.4333334; 3.9410715; 16; 84
1501.0;6.4761906; 93.52381; 1.0490162; 0.5320658; 3.0895834; 4.2612033; 7; 93
2001.0;2.402985; 97.597015; 1.4355737; 0.2315276; 3.5842264; 4.6479697; 1; 99
2501.0;1.2755102; 98.72449; 1.4355737; 0.18415684; 8.584227; 4.865131; 3; 97
3001.0;1.3050025; 98.695; 2.4785244; 0.33179545; 4.194742; 4.6377845; 2; 98
3501.0;2.097902; 97.90209; 1.2392622; 0.35032442; 5.097371; 4.639161; 3; 97
4001.0;1.3066202; 98.69338; 2.7464206; 0.26134354; 3.3657904; 4.697311; 0; 100
