Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;56.13731; 43.86269; 1.8; 2.2727273; 6.266667; 5.090909; 51; 49
1001.0;44.857918; 55.142082; 1.8980392; 1.7810761; 6.1228757; 6.3896103; 43; 57
1501.0;35.631046; 64.36895; 2.1836753; 1.8558084; 5.0028577; 5.5156074; 26; 74
2001.0;20.967741; 79.03226; 2.6993723; 2.3494027; 4.2693405; 5.615076; 10; 90
2501.0;7.0972896; 92.90271; 2.8699372; 2.292771; 4.526934; 6.540168; 3; 97
3001.0;1.5321758; 98.46783; 2.6233122; 1.5803379; 8.175645; 7.830311; 2; 98
3501.0;1.0397553; 98.96024; 3.811656; 1.658983; 8.087822; 7.804391; 1; 99
4001.0;0.42674252; 99.57326; 5.811656; 1.2490807; 12.087822; 8.381863; 0; 100
