Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;52.02546; 47.974533; 1.1351352; 1.9047619; 4.783784; 3.7142856; 55; 45
1001.0;59.82543; 40.174564; 1.4570024; 1.5756614; 4.159705; 3.7714288; 58; 42
1501.0;64.81539; 35.18461; 1.3871896; 1.5851347; 4.3130984; 3.9707482; 65; 35
2001.0;75.45114; 24.548859; 1.1290337; 1.4167181; 4.5894322; 4.0277357; 73; 27
2501.0;84.670456; 15.329549; 0.9469731; 1.7561747; 4.939581; 3.556583; 86; 14
3001.0;93.93539; 6.0646105; 0.6621741; 1.6968696; 5.5109253; 3.8968987; 93; 7
3501.0;97.56612; 2.4338846; 0.20066854; 1.9566957; 5.822698; 4.4138427; 97; 3
4001.0;97.26776; 2.7322404; 0.06392442; 0.6522319; 5.8744607; 6.471281; 97; 3
4501.0;98.854774; 1.1452281; 0.12437036; 2.2174106; 5.8131385; 4.490427; 99; 1
5001.0;99.68132; 0.31867433; 0.021458287; 4.2174106; 5.9577084; 9.490427; 100; 0
