Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;51.6909; 48.309105; 0.3; 1.8714286; 4.7; 2.9142857; 45; 55
1001.0;67.065865; 32.93413; 0.53999996; 1.4522078; 4.5044446; 3.5984414; 65; 35
1501.0;82.71108; 17.288916; 0.48523077; 1.4986346; 4.5769916; 3.702813; 86; 14
2001.0;94.69879; 5.3012047; 0.07540966; 0.6784739; 4.9718256; 4.693058; 93; 7
2501.0;98.98034; 1.019665; 0.076079674; 1.0969249; 4.978192; 4.813294; 98; 2
3001.0;99.703705; 0.2962963; 0.02118449; 1.5484624; 5.020186; 6.4066467; 98; 2
3501.0;99.24406; 0.75593954; 0.041032493; 2.7742312; 5.0104103; 6.2033234; 98; 2
4001.0;99.18033; 0.8196721; 0.010622781; 1.8871156; 5.0409226; 7.6016617; 99; 1
4501.0;99.854866; 0.14513788; 0.010208311; 2.8871155; 5.0509186; 11.601662; 99; 1
5001.0;99.85444; 0.14556041; 0.010204125; 3.8871155; 5.030817; 15.601662; 99; 1
5501.0;99.62686; 0.37313432; 0.020305092; 5.8871155; 5.0306144; 18.601662; 99; 1
