Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;59.047623; 40.95238; 0.2; 0.32; 4.72; 4.18; 58; 42
1001.0;74.8076; 25.192394; 0.7275862; 0.96; 3.891724; 3.5995235; 72; 28
1501.0;87.815834; 12.184165; 0.6212165; 0.89142853; 3.998496; 3.3071258; 86; 14
2001.0;95.23359; 4.766408; 0.26303738; 1.2065306; 4.546494; 3.3790803; 94; 6
2501.0;98.783455; 1.2165451; 0.09854295; 0.7010884; 4.8462396; 3.8965132; 98; 2
3001.0;99.56332; 0.43668118; 0.05202595; 0.8505442; 4.957615; 5.4482565; 98; 2
3501.0;99.164345; 0.8356546; 0.09236761; 2.925272; 4.938343; 4.7241282; 96; 4
4001.0;98.4; 1.6; 0.12596215; 2.731318; 4.895191; 3.6810322; 97; 3
4501.0;99.03537; 0.9646302; 0.042535692; 2.2437727; 4.9576826; 3.8936775; 98; 2
5001.0;99.258415; 0.74158585; 0.041250367; 3.1218863; 5.0097723; 5.446839; 100; 0
