Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;37.459244; 62.540756; 2.054054; 2.0; 6.0540543; 5.698413; 33; 67
1001.0;30.326479; 69.67352; 2.1834562; 2.1791046; 5.031941; 5.83132; 29; 71
1501.0;23.986837; 76.01316; 2.8339124; 2.481396; 4.3459287; 5.5469203; 27; 73
2001.0;29.481092; 70.51891; 2.290145; 2.7052248; 3.938738; 5.2129717; 27; 73
2501.0;23.197609; 76.80239; 2.4181535; 2.3521264; 4.1458793; 5.701547; 31; 69
3001.0;23.433954; 76.56605; 2.8199403; 2.1645236; 4.3918023; 5.7058196; 24; 76
3501.0;25.104788; 74.89521; 2.1591642; 2.3574278; 4.9329915; 5.9040236; 26; 74
4001.0;21.571991; 78.42801; 3.159968; 2.6805058; 4.0358844; 4.9851894; 20; 80
4501.0;17.234043; 82.76595; 2.6079984; 2.4460063; 4.3517942; 5.649815; 22; 78
5001.0;18.95453; 81.04546; 2.1639998; 2.1467438; 5.0159907; 6.3544846; 15; 85
5501.0;12.443027; 87.55698; 2.2109334; 2.2017264; 4.601066; 6.3571115; 11; 89
6001.0;9.183466; 90.816536; 2.6555395; 2.4854126; 5.2364607; 6.5770464; 8; 92
6501.0;7.8085647; 92.19144; 2.7069426; 2.7552762; 4.7795577; 6.1693153; 9; 91
7001.0;9.972708; 90.02729; 2.1896603; 2.6126955; 4.0866175; 6.287575; 10; 90
7501.0;7.909604; 92.0904; 1.9189659; 1.8623633; 6.1086617; 7.258751; 6; 94
8001.0;14.035088; 85.96491; 1.4864944; 1.4985358; 8.184777; 7.9921145; 18; 82
8501.0;12.676056; 87.323944; 2.6381388; 2.0670552; 5.7324877; 6.682831; 12; 88
9001.0;9.853068; 90.14693; 2.9698448; 2.6484892; 4.7277074; 6.0532146; 7; 93
9501.0;4.7491775; 95.250824; 2.4242635; 1.942457; 5.961101; 7.323153; 4; 96
10001.0;4.3508525; 95.64915; 3.1060658; 2.8327339; 7.4902754; 6.9825325; 5; 95
10501.0;19.284966; 80.715034; 1.0212132; 1.9245551; 8.898055; 7.420869; 16; 84
11001.0;12.083847; 87.91615; 1.7513258; 1.84434; 5.9311285; 7.3145347; 10; 90
11501.0;6.54113; 93.45887; 2.1751325; 1.9316037; 3.993113; 6.9146066; 2; 98
12001.0;1.3953488; 98.60465; 3.0875664; 2.0197103; 7.4965563; 7.5603533; 2; 98
12501.0;0.7518797; 99.24812; 3.0437832; 1.4389766; 9.748278; 8.2098; 0; 100
