Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;45.525837; 54.474163; 1.7567568; 2.047619; 6.027027; 5.4603176; 42; 58
1001.0;35.19864; 64.80136; 2.6608753; 2.2077177; 5.714929; 5.938971; 33; 67
1501.0;23.617435; 76.38257; 2.595784; 1.8090705; 5.415604; 5.9841638; 21; 79
2001.0;16.338865; 83.66113; 3.1236086; 2.5672033; 4.1626477; 5.70866; 18; 82
2501.0;14.644144; 85.35585; 2.6735337; 2.3117952; 5.4534802; 6.2281547; 9; 91
3001.0;14.586504; 85.4135; 1.4081703; 2.0913384; 5.1614976; 6.738771; 15; 85
3501.0;11.316873; 88.68313; 3.0272114; 2.58931; 4.0107665; 6.114574; 12; 88
4001.0;7.971015; 92.028984; 2.918934; 2.120333; 5.417564; 7.0126653; 10; 90
4501.0;4.775687; 95.22431; 2.1918933; 1.4568926; 6.7417564; 7.9556966; 4; 96
5001.0;3.529412; 96.47059; 2.0479734; 1.7860093; 7.685439; 7.645372; 5; 95
5501.0;3.125; 96.875; 1.8095948; 1.5030106; 8.737088; 7.827846; 3; 97
6001.0;10.838248; 89.16175; 1.2698649; 1.6649795; 7.579029; 7.6374006; 9; 91
6501.0;9.055388; 90.9446; 2.3633184; 2.457857; 6.39767; 6.688323; 10; 90
7001.0;5.5000005; 94.5; 1.836332; 1.6050873; 7.5397673; 7.863204; 3; 97
7501.0;3.624977; 96.375015; 2.2787774; 2.1299493; 8.179923; 7.2460127; 1; 99
8001.0;0.2754821; 99.72452; 4.278777; 1.0518177; 16.179924; 8.537839; 0; 100
