Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;47.10502; 52.894985; 1.8648648; 2.3968253; 6.0; 5.111111; 47; 53
1001.0;41.606556; 58.393444; 1.9971249; 1.8565439; 5.893617; 6.115304; 41; 59
1501.0;39.80167; 60.19833; 2.1462712; 2.0992634; 6.0949664; 6.1375475; 44; 56
2001.0;49.18648; 50.81352; 1.9351425; 2.198201; 5.5930676; 5.734599; 51; 49
2501.0;51.757492; 48.242508; 1.6850028; 1.6775142; 6.09006; 5.953768; 53; 47
3001.0;56.568737; 43.43126; 2.163868; 2.397394; 5.058303; 5.169229; 59; 41
3501.0;57.303516; 42.696487; 2.0027773; 1.863351; 6.0518355; 5.565103; 41; 59
4001.0;33.768013; 66.23198; 2.7805555; 2.26887; 5.0256543; 5.687544; 33; 67
4501.0;31.424532; 68.57547; 2.3266835; 2.242819; 4.6371408; 4.9057846; 36; 64
5001.0;31.053055; 68.946945; 2.7035189; 2.3944192; 3.712143; 4.654778; 24; 76
5501.0;19.420784; 80.579216; 2.69598; 2.426242; 3.5713394; 5.4823; 21; 79
6001.0;17.355371; 82.64463; 1.9855229; 1.9674207; 5.4557776; 6.8162317; 16; 84
6501.0;12.682091; 87.31792; 2.7490952; 2.4758027; 4.2159863; 5.974003; 7; 93
7001.0;10.3274; 89.6726; 1.8212993; 2.0911376; 6.1737127; 7.0427313; 9; 91
7501.0;5.443; 94.557; 1.9801445; 1.6933092; 7.352635; 7.802667; 3; 97
8001.0;1.0714287; 98.92857; 1.9933815; 1.4401373; 8.117545; 8.049512; 1; 99
8501.0;0.57159185; 99.428406; 6.9933815; 2.4488902; 13.117545; 7.394439; 0; 100
