Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;20.575329; 79.424675; 0.5; 1.8111111; 4.5; 3.0222223; 13; 87
1001.0;20.071825; 79.92817; 1.1153846; 1.6989783; 4.1153846; 3.3680716; 22; 78
1501.0;36.955883; 63.044113; 0.77797204; 1.9192176; 4.3234267; 3.1457446; 36; 64
2001.0;54.400368; 45.599636; 0.7716104; 1.5143628; 4.3423176; 3.5647774; 65; 35
2501.0;84.427574; 15.572436; 0.488794; 1.2718389; 4.6052666; 3.9018507; 85; 15
3001.0;94.93477; 5.065234; 0.19398582; 1.4181226; 4.8306503; 3.9934568; 95; 5
3501.0;98.73418; 1.2658228; 0.06519985; 1.4836246; 4.9982176; 4.5986915; 98; 2
4001.0;97.799995; 2.2000003; 6.653046E-4; 0.7418123; 5.040798; 7.799346; 96; 4
4501.0;98.559265; 1.4407334; 0.05209026; 1.935453; 4.9900084; 5.1998367; 100; 0
