Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;91.75966; 8.240344; 0.3; 0.8333333; 4.457143; 3.1; 90; 10
1001.0;97.73096; 2.2690437; 0.17; 0.9833333; 4.7828574; 3.4099998; 98; 2
1501.0;99.15287; 0.8471313; 0.11397959; 2.9916668; 4.8855395; 3.205; 99; 1
2001.0;99.660095; 0.33990481; 0.03145434; 3.9916668; 5.008945; 3.205; 99; 1
2501.0;99.57586; 0.42414358; 0.03062075; 6.991667; 5.030393; 5.205; 98; 2
3001.0;99.47754; 0.52246606; 0.04112878; 4.4958334; 4.969698; 5.1025; 97; 3
3501.0;99.81226; 0.18773466; 0.021042563; 2.1652777; 4.9687595; 4.7008333; 99; 1
4001.0;99.62666; 0.37333333; 0.020414572; 4.1652775; 5.0198865; 7.7008333; 98; 2
4501.0;98.3871; 1.6129031; 2.0831196E-4; 2.0826387; 5.030815; 7.8504167; 98; 2
5001.0;99.23037; 0.7696255; 0.040818453; 3.0413194; 4.9901104; 6.425208; 99; 1
5501.0;99.62627; 0.373732; 0.020614328; 5.0413194; 4.9999003; 9.425208; 98; 2
6001.0;99.484; 0.51599586; 0.020618513; 3.5206597; 4.989795; 7.212604; 99; 1
6501.0;99.62707; 0.37293553; 0.020410288; 5.5206594; 5.040301; 10.2126045; 99; 1
7001.0;99.77375; 0.22624436; 0.010307175; 6.5206594; 5.010508; 13.2126045; 99; 1
7501.0;99.85402; 0.1459854; 0.010205124; 7.5206594; 5.010207; 17.212605; 98; 2
8001.0;99.33383; 0.6661732; 0.051124543; 5.2603297; 5.000104; 11.606302; 99; 1
8501.0;99.175255; 0.8247423; 0.02071843; 5.2603297; 5.0101023; 15.606302; 100; 0
