Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;29.220537; 70.77946; 2.7142856; 2.2; 3.8857143; 4.2615385; 27; 73
1001.0;22.969946; 77.03006; 2.1746032; 2.030137; 4.3291006; 5.359747; 14; 86
1501.0;12.529182; 87.47082; 2.5124717; 2.5003505; 3.88065; 5.35302; 13; 87
2001.0;9.427881; 90.57213; 2.5009596; 2.0517282; 4.2215886; 5.877621; 12; 88
2501.0;12.269938; 87.730064; 2.2084134; 2.432406; 4.0184655; 5.6122456; 3; 97
3001.0;1.8964837; 98.103516; 2.7361376; 1.7364166; 6.006155; 6.4805384; 1; 99
3501.0;2.767857; 97.23214; 2.7361376; 1.9973376; 9.006155; 6.297783; 5; 95
4001.0;3.000577; 96.99943; 3.3472276; 1.9157615; 5.401231; 6.4347134; 2; 98
4501.0;1.2179756; 98.78203; 5.1736135; 2.2338345; 5.7006154; 6.137089; 0; 100
