Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;42.530174; 57.469826; 1.6; 1.9076923; 5.285714; 5.2; 49; 51
1001.0;52.986492; 47.01351; 2.1142857; 2.3119156; 4.5976677; 4.317647; 49; 51
1501.0;48.581966; 51.41803; 1.7574345; 1.7708219; 5.1550546; 5.26113; 52; 48
2001.0;46.177742; 53.822254; 2.0722582; 1.8285588; 5.2337513; 5.3387737; 54; 46
2501.0;54.99707; 45.00293; 1.7420789; 1.7788818; 5.133959; 5.1812778; 58; 42
3001.0;58.50459; 41.495415; 1.6162428; 1.613783; 5.105758; 5.004316; 55; 45
3501.0;64.85464; 35.145363; 1.5384771; 1.9691952; 5.1655593; 4.7334294; 67; 33
4001.0;77.95343; 22.046568; 1.3363951; 1.6354302; 5.853217; 4.961619; 81; 19
4501.0;92.10151; 7.8984923; 0.8436592; 1.8229173; 6.800657; 5.4190326; 89; 11
5001.0;96.28528; 3.7147224; 0.4926254; 1.8929925; 7.087648; 5.310821; 96; 4
5501.0;98.718735; 1.2812691; 0.19263153; 2.473248; 7.365496; 6.0777054; 99; 1
6001.0;99.61102; 0.38897893; 0.07265285; 5.473248; 7.468338; 9.077705; 100; 0
