Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;46.417324; 53.58267; 1.6285714; 2.2923076; 5.542857; 4.8153844; 50; 50
1001.0;44.95413; 55.04587; 2.1725714; 1.9858463; 4.930857; 5.236307; 47; 53
1501.0;35.775948; 64.22406; 2.195161; 1.5657707; 4.977252; 5.344081; 33; 67
2001.0;28.38155; 71.61845; 2.3695502; 2.1427727; 4.332644; 5.1245384; 21; 79
2501.0;17.557638; 82.44235; 1.9223597; 1.8245921; 4.5396495; 5.5079055; 22; 78
3001.0;20.446098; 79.5539; 2.1328344; 2.1387768; 4.7518024; 5.519332; 22; 78
3501.0;18.789602; 81.210396; 2.5514925; 2.3351126; 4.0341725; 5.006658; 19; 81
4001.0;19.866896; 80.1331; 1.8184996; 1.9794458; 4.791272; 5.740823; 22; 78
4501.0;18.553703; 81.4463; 1.9008409; 1.7946082; 5.354149; 5.9069333; 9; 91
5001.0;6.149017; 93.85098; 2.76676; 2.0526881; 5.150461; 6.1967793; 12; 88
5501.0;12.7995205; 87.20048; 1.89723; 2.0687807; 4.5958714; 5.786327; 15; 85
6001.0;10.416666; 89.58333; 2.7264822; 2.0361035; 4.3063912; 5.7857213; 13; 87
6501.0;13.451706; 86.548294; 2.1328063; 2.2417943; 4.4081836; 5.3883414; 14; 86
7001.0;10.979004; 89.020996; 2.7237718; 2.328393; 4.3148704; 5.5510273; 12; 88
7501.0;10.416666; 89.58333; 3.226981; 2.93555; 4.109573; 5.3017163; 12; 88
8001.0;10.597825; 89.402176; 2.1022484; 1.9424495; 5.175798; 5.923883; 4; 96
8501.0;2.5357609; 97.46424; 3.275562; 2.0306504; 5.2939496; 6.228374; 5; 95
9001.0;8.853354; 91.146645; 1.8551124; 1.57927; 6.85879; 6.560299; 7; 93
9501.0;4.43038; 95.569626; 2.6935875; 1.8987018; 4.2655416; 6.1458097; 4; 96
10001.0;2.3423424; 97.65765; 3.6733968; 1.8114448; 6.3163853; 6.459852; 1; 99
10501.0;0.63492066; 99.36508; 4.673397; 1.6445601; 7.3163853; 6.5197964; 0; 100
