Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;58.218212; 41.781788; 1.4186046; 2.0175438; 6.395349; 5.5263157; 52; 48
1001.0;36.807423; 63.192577; 1.7195886; 1.3753656; 6.353757; 6.469298; 32; 68
1501.0;28.696194; 71.3038; 2.3974872; 2.2996378; 4.729805; 5.5216074; 28; 72
2001.0;22.091743; 77.90826; 2.3356247; 2.0180504; 5.2760644; 6.1461334; 19; 81
2501.0;13.456254; 86.54375; 2.4387171; 1.9508401; 5.751372; 6.7055078; 12; 88
3001.0;10.916096; 89.0839; 2.369893; 2.4994414; 4.229281; 6.1784716; 7; 93
3501.0;3.322508; 96.67749; 2.195699; 1.4784887; 7.175611; 7.8406286; 5; 95
4001.0;7.1689496; 92.831055; 1.8391397; 1.9208262; 7.2351227; 7.3562174; 3; 97
4501.0;15.970678; 84.02932; 1.2797133; 1.6692868; 7.4117074; 7.921198; 12; 88
5001.0;16.324121; 83.67588; 1.8566427; 2.6894236; 5.2009754; 6.1241045; 11; 89
5501.0;7.651303; 92.348694; 2.9869676; 2.333589; 4.836452; 6.641844; 11; 89
6001.0;6.7869315; 93.213066; 3.0897245; 1.9925122; 4.985132; 7.018448; 4; 96
6501.0;2.2361984; 97.7638; 3.2724311; 1.8124219; 5.746283; 7.6043587; 1; 99
7001.0;0.5393743; 99.460625; 6.2724314; 1.8465902; 10.746283; 7.8444886; 0; 100
