Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;61.941673; 38.058327; 0.88372093; 1.6842105; 5.139535; 3.8421052; 57; 43
1001.0;53.0186; 46.981396; 1.4365565; 1.3647491; 4.4059567; 4.4149327; 59; 41
1501.0;66.082855; 33.917145; 1.3294331; 1.472311; 4.583152; 4.180852; 61; 39
2001.0;67.213974; 32.786022; 1.3660563; 1.5249311; 4.53415; 4.2610474; 70; 30
2501.0;78.73042; 21.26958; 1.376658; 1.8174977; 4.479059; 3.242035; 75; 25
3001.0;86.27187; 13.728128; 0.91168875; 1.6326998; 4.913054; 3.8496814; 87; 13
3501.0;94.27523; 5.72477; 0.57369757; 1.8948231; 5.424288; 3.6038218; 95; 5
4001.0;98.25835; 1.7416546; 0.23761788; 1.9789646; 5.8676243; 3.9207642; 100; 0
