Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;43.357143; 56.64286; 1.7428571; 1.9538461; 6.542857; 6.0153847; 48; 52
1001.0;50.398224; 49.601776; 1.9113096; 1.9991124; 5.948809; 5.9618344; 52; 48
1501.0;51.71739; 48.282608; 1.9598329; 1.8749815; 6.2105536; 5.811705; 49; 51
2001.0;46.20143; 53.79857; 2.3257108; 2.1544116; 5.1471543; 5.0551314; 41; 59
2501.0;36.57579; 63.424206; 2.3250175; 2.189058; 5.369443; 6.000934; 41; 59
3001.0;33.2157; 66.7843; 2.3006103; 1.969306; 4.91145; 5.8813715; 34; 66
3501.0;32.307835; 67.69216; 2.2735474; 2.1965046; 5.23269; 5.4527483; 28; 72
4001.0;32.58007; 67.41993; 1.7954838; 2.3638403; 4.329739; 5.8951774; 35; 65
4501.0;32.070484; 67.92952; 2.1941566; 2.174828; 4.8951354; 5.67531; 31; 69
5001.0;26.205551; 73.79445; 2.55465; 2.3068817; 4.609521; 5.6039896; 17; 83
5501.0;12.041367; 87.95863; 2.7973323; 2.1844203; 4.682913; 6.4048676; 6; 94
6001.0;4.099869; 95.90013; 3.1328888; 2.2785575; 5.4471526; 6.951116; 9; 91
6501.0;5.743917; 94.25609; 2.45921; 1.838226; 5.8274612; 7.131331; 3; 97
7001.0;5.8252425; 94.17475; 1.8197366; 1.9674044; 6.9424872; 7.5271273; 1; 99
7501.0;0.43336946; 99.566635; 4.8197365; 1.201691; 13.942488; 8.550778; 0; 100
