Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;68.20277; 31.797235; 0.32; 0.52; 4.56; 3.98; 72; 28
1001.0;86.659195; 13.340805; 0.5738889; 1.1257143; 4.1883335; 3.2492855; 82; 18
1501.0;96.99499; 3.0050087; 0.22651084; 0.8403175; 4.538882; 3.402738; 97; 3
2001.0;98.93452; 1.0654827; 0.053881556; 1.9467726; 4.954009; 4.1342463; 96; 4
2501.0;99.77679; 0.2232143; 0.0526446; 1.2366931; 4.968271; 5.0335617; 98; 2
3001.0;99.33284; 0.66716087; 0.0515576; 2.1183467; 4.979268; 5.516781; 98; 2
3501.0;99.703705; 0.2962963; 0.020934261; 2.0591733; 5.0201964; 6.7583904; 99; 1
4001.0;99.853806; 0.14619884; 0.010312467; 3.0591733; 5.000204; 10.75839; 98; 2
4501.0;99.612404; 0.3875969; 0.020513393; 2.5295868; 5.0204105; 8.879195; 98; 2
5001.0;99.36558; 0.6344171; 0.030821567; 2.7647934; 4.990004; 7.9395976; 99; 1
5501.0;99.61203; 0.38797286; 0.04071537; 4.7647934; 4.999899; 9.939598; 100; 0
