Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;51.555557; 48.444443; 0.35555556; 0.4; 4.3555555; 3.9818182; 55; 45
1001.0;58.160686; 41.83931; 1.0246465; 1.0311111; 3.4064648; 3.1551514; 62; 38
1501.0;81.13784; 18.862162; 0.71007496; 0.8955556; 3.9581687; 3.740925; 77; 23
2001.0;95.49461; 4.5053873; 0.41181916; 0.77806765; 4.324132; 3.3365617; 94; 6
2501.0;99.026764; 0.973236; 0.110764034; 0.7963446; 4.9077034; 4.5560937; 98; 2
3001.0;99.5614; 0.43859646; 0.05215065; 0.89817226; 4.937834; 5.7780466; 99; 1
3501.0;99.854866; 0.14513788; 0.010627784; 1.8981723; 5.049877; 9.778047; 98; 2
4001.0;99.4709; 0.52910054; 0.061332937; 1.9490862; 4.9494886; 7.3890233; 99; 1
4501.0;99.175255; 0.8247423; 0.020821545; 1.9490862; 5.0095906; 11.389023; 99; 1
5001.0;99.71989; 0.28011206; 0.03051335; 2.9490862; 4.989996; 13.389023; 100; 0
