Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;54.899574; 45.100426; 0.8857143; 1.2461538; 4.885714; 4.476923; 49; 51
1001.0;46.80299; 53.197002; 1.8752186; 1.8479638; 3.4466472; 3.8132732; 44; 56
1501.0;37.50829; 62.49171; 2.0426185; 1.747285; 4.237424; 4.603809; 36; 64
2001.0;27.918365; 72.081635; 2.0289617; 1.5741763; 3.645484; 4.3375597; 29; 71
2501.0;37.10326; 62.896736; 1.3458263; 1.7827349; 3.9532926; 4.27236; 37; 63
3001.0;29.36508; 70.63492; 2.1444817; 1.710837; 3.8365755; 4.4805136; 21; 79
3501.0;14.49095; 85.50905; 2.4354515; 1.6798841; 3.135075; 4.5883613; 10; 90
4001.0;7.295374; 92.70462; 1.6435452; 1.4631099; 3.2135074; 4.862093; 7; 93
4501.0;4.457725; 95.542274; 2.6633637; 1.7039044; 3.3162155; 4.901743; 2; 98
5001.0;1.1250827; 98.874916; 3.8316817; 1.3949378; 5.6581078; 5.1826706; 1; 99
5501.0;0.6535948; 99.346405; 4.8316817; 1.2363125; 8.658108; 5.2341685; 0; 100
