Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;18.39754; 81.60246; 0.8; 1.9555556; 4.2; 2.9; 20; 80
1001.0;33.633633; 66.36637; 0.84; 1.7744443; 4.3599997; 3.26125; 36; 64
1501.0;54.526318; 45.473682; 0.69; 2.0589757; 4.398889; 3.035332; 58; 42
2001.0;78.3711; 21.6289; 0.51189655; 1.4061661; 4.5068774; 3.762746; 80; 20
2501.0;93.71258; 6.287425; 0.2313987; 1.2703083; 4.8063364; 4.088137; 93; 7
3001.0;97.4281; 2.5718992; 0.2498; 1.7529012; 4.8151217; 4.298305; 98; 2
3501.0;97.50624; 2.4937656; 0.16581428; 0.8764506; 4.8552566; 7.1491528; 98; 2
4001.0;99.31507; 0.6849315; 0.19556953; 1.9382253; 4.8556657; 7.0745764; 100; 0
