Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;18.400354; 81.59965; 0.8; 1.9333333; 4.2; 2.8777778; 20; 80
1001.0;35.704876; 64.29513; 0.64; 1.8741667; 4.56; 3.1859722; 35; 65
1501.0;55.362057; 44.637936; 0.56114286; 1.7672949; 4.4731426; 3.372092; 59; 41
2001.0;80.87092; 19.129082; 0.36544308; 1.3845682; 4.6690364; 3.7895634; 81; 19
2501.0;92.81935; 7.1806498; 0.337845; 1.3886614; 4.7119637; 3.8836613; 87; 13
3001.0;95.925995; 4.073999; 0.23376833; 1.3375893; 4.8242755; 4.0679736; 96; 4
3501.0;98.79808; 1.2019231; 0.24201842; 1.5843973; 4.8106694; 4.7669935; 96; 4
4001.0;98.61368; 1.3863217; 0.23168771; 1.8960993; 4.810528; 4.9417486; 100; 0
