Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;19.8588; 80.1412; 0.5; 2.2555556; 4.5; 2.588889; 20; 80
1001.0;31.414265; 68.58573; 1.025; 2.0031943; 4.075; 3.0573611; 25; 75
1501.0;41.317074; 58.68293; 0.761; 1.7600427; 4.363; 3.3607647; 30; 70
2001.0;45.897552; 54.10245; 0.8587; 1.6680006; 4.2121; 3.390868; 45; 55
2501.0;63.013256; 36.986748; 0.77463776; 1.8121455; 4.3380466; 3.2980158; 63; 37
3001.0;83.77608; 16.223917; 0.2821371; 1.4273553; 4.7672706; 3.7377844; 85; 15
3501.0;93.24503; 6.7549667; 0.25037807; 2.295157; 4.750203; 3.3158524; 89; 11
4001.0;98.96675; 1.0332519; 0.09270087; 1.1177415; 4.974721; 4.39235; 94; 6
4501.0;98.669624; 1.330377; 0.04353937; 0.85295695; 4.999731; 5.0653915; 99; 1
5001.0;99.002; 0.9980041; 4.3979162E-4; 0.85295695; 5.060603; 10.065392; 99; 1
5501.0;99.85444; 0.14556041; 0.0101054525; 1.852957; 5.0309153; 14.065392; 100; 0
