Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;21.39738; 78.602615; 0.3; 1.9888889; 4.7; 2.8333333; 17; 83
1001.0;27.337175; 72.66283; 0.9588235; 1.6384203; 4.217647; 3.4196784; 22; 78
1501.0;35.007523; 64.99248; 0.95267385; 1.7902362; 4.237166; 3.3515344; 41; 59
2001.0;55.412315; 44.58769; 0.9744555; 1.5388175; 4.0057845; 3.5652802; 57; 43
2501.0;79.88398; 20.116018; 0.4556922; 1.2683446; 4.579049; 3.9201226; 77; 23
3001.0;94.84305; 5.1569505; 0.25267133; 1.0551454; 4.786741; 4.17044; 96; 4
3501.0;98.758865; 1.2411348; 0.06513199; 1.7637863; 4.9665284; 5.04261; 97; 3
4001.0;99.548874; 0.45112783; 0.0315993; 1.5879288; 5.030583; 5.68087; 98; 2
4501.0;99.6129; 0.38709676; 0.020730605; 1.7939644; 5.0309243; 6.340435; 100; 0
