Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;50.261925; 49.738075; 1.8461539; 2.6557376; 5.5384617; 4.47541; 47; 53
1001.0;43.066586; 56.933414; 2.5499182; 2.3142593; 5.0114565; 5.0655737; 38; 62
1501.0;42.699524; 57.300472; 1.8828926; 2.0211976; 5.94767; 5.8397675; 42; 58
2001.0;33.38741; 66.61259; 2.7114973; 2.069331; 5.3082776; 5.738617; 34; 66
2501.0;30.58444; 69.41556; 2.1385736; 2.0010505; 5.362008; 5.708161; 32; 68
3001.0;32.243053; 67.75694; 2.5355804; 2.7500155; 3.9175627; 4.9957085; 31; 69
3501.0;25.504175; 74.49583; 2.7592123; 2.3442032; 4.5779862; 5.4492135; 25; 75
4001.0;19.187359; 80.81264; 2.9903686; 2.4045894; 4.3831196; 5.859323; 20; 80
4501.0;17.924528; 82.07547; 2.4495184; 2.4300573; 5.0691557; 6.385741; 12; 88
5001.0;8.713694; 91.28631; 2.0374599; 1.8457961; 6.089096; 7.1634746; 8; 92
5501.0;35.02242; 64.97758; 1.1296825; 1.6613673; 8.011137; 7.5996027; 31; 69
6001.0;19.719913; 80.28009; 2.1009576; 1.5603096; 6.258424; 7.0521684; 20; 80
6501.0;23.57097; 76.42902; 2.205048; 2.6195037; 5.112921; 5.6506524; 17; 83
7001.0;12.294896; 87.70511; 2.835591; 2.272524; 4.4184074; 6.20061; 11; 89
7501.0;7.6220655; 92.37794; 3.34869; 2.4300284; 4.1289463; 6.204501; 3; 97
8001.0;1.3895322; 98.610466; 2.4495633; 1.4683508; 4.7096486; 7.929943; 1; 99
8501.0;2.1143901; 97.885605; 3.4495633; 2.8330138; 10.709648; 6.948787; 1; 99
9001.0;0.5710207; 99.42898; 6.449563; 1.9781111; 17.709648; 7.8883715; 0; 100
