Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;46.655376; 53.344624; 1.7297298; 2.2539682; 5.243243; 4.6031747; 46; 54
1001.0;44.230766; 55.76923; 2.0810812; 1.967666; 5.3313746; 5.085244; 42; 58
1501.0;35.463516; 64.53649; 2.7162163; 2.2063391; 4.412652; 4.777332; 41; 59
2001.0;36.374977; 63.62502; 2.236981; 2.0543447; 4.717382; 5.2674127; 32; 68
2501.0;28.966639; 71.033356; 2.0699058; 2.030211; 4.584918; 5.371579; 31; 69
3001.0;27.298412; 72.701584; 2.7441907; 2.5076842; 4.0833845; 4.8749504; 20; 80
3501.0;15.491453; 84.508545; 2.3372095; 2.031346; 3.9541695; 5.4484367; 16; 84
4001.0;14.527027; 85.47297; 2.0210757; 2.0718017; 4.2471356; 5.576767; 15; 85
4501.0;12.409513; 87.590485; 1.6680717; 1.6361389; 5.283142; 6.112668; 14; 86
5001.0;10.899654; 89.10034; 2.0477195; 1.9143738; 4.23451; 5.675729; 11; 89
5501.0;9.044193; 90.9558; 2.2770655; 2.1900492; 4.2940464; 5.9514127; 9; 91
6001.0;7.7253222; 92.27468; 2.1418962; 2.1449456; 3.9215605; 5.757708; 7; 93
6501.0;4.5833; 95.4167; 3.4488423; 2.2166123; 4.70308; 6.0189; 7; 93
7001.0;4.6868844; 95.31311; 2.3498344; 1.7335119; 5.10044; 6.3335366; 7; 93
7501.0;4.4121957; 95.5878; 2.4785478; 1.7283174; 5.300063; 6.347672; 4; 96
8001.0;2.3371649; 97.662834; 4.119637; 2.05967; 3.5750158; 6.326538; 4; 96
8501.0;2.6166098; 97.38339; 3.0299091; 1.8131214; 5.143754; 6.4409013; 4; 96
9001.0;4.6377535; 95.36225; 2.7574773; 2.53972; 5.7859383; 6.067093; 9; 91
9501.0;5.5745583; 94.42544; 2.6397197; 1.7312057; 4.865104; 6.165572; 3; 97
10001.0;2.803738; 97.196266; 2.5465734; 1.8425897; 6.9550347; 6.403769; 3; 97
10501.0;1.831502; 98.168495; 3.5155246; 1.9365215; 5.651678; 6.230967; 0; 100
