Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;49.032257; 50.967743; 0.37209302; 0.42105263; 3.627907; 3.491228; 49; 51
1001.0;53.424656; 46.575344; 0.9259611; 1.008256; 3.0536306; 3.0684555; 56; 44
1501.0;50.0; 50.0; 0.62367785; 0.56836945; 3.4295292; 3.2288284; 52; 48
2001.0;46.959663; 53.040337; 1.0312246; 0.949341; 2.8544142; 2.9631004; 47; 53
2501.0;40.59014; 59.40986; 0.8091751; 0.791497; 2.9756258; 3.206851; 36; 64
3001.0;31.979694; 68.02031; 0.6891438; 0.7311171; 3.0271006; 3.331357; 29; 71
3501.0;15.064936; 84.93507; 0.9547981; 0.58776224; 2.759555; 3.5398784; 15; 85
4001.0;4.444444; 95.55556; 0.59698653; 0.5245619; 3.1173036; 3.6416457; 3; 97
4501.0;1.3297873; 98.67021; 1.532329; 0.4590161; 2.7057679; 3.779811; 2; 98
5001.0;0.8706467; 99.12936; 2.7661645; 0.33121443; 4.352884; 3.9365287; 0; 100
